text,count,mean_combined_score,std_combined_score,max_combined_score,mean_comp_deviation,mean_norm_shift,n_tokens
0–1,1,1.5575839804783396,0.0,1.5575839804783396,0.2646484375,3.157128286156786,1
arus which forbids,1,1.5480980489186003,0.0,1.5480980489186003,0.4306640625,3.0797177785464998,3
£20 hardbacks,1,1.54156093824062,0.0,1.54156093824062,0.36474609375,3.1469931659140493,2
Phillips (November,1,1.4520466757422734,0.0,1.4520466757422734,0.36083984375,2.7927448631838088,2
fiery force engulfs,1,1.4420380307849194,0.0,1.4420380307849194,0.42138671875,2.7996141199310487,3
-Smith and starring,1,1.436620149326006,0.0,1.436620149326006,0.45703125,2.6719031565181397,3
"Windmill, in 1",1,1.4252016850243063,0.0,1.4252016850243063,0.56201171875,2.5430762340451407,3
time of last access (),1,1.4234819949245407,0.0,1.4234819949245407,0.33740234375,2.902088776373852,5
bildenden Künste,1,1.3967395226836963,0.0,1.3967395226836963,0.45556640625,2.6824005645217404,2
hospital located on Louisiana Highway,1,1.3961649522311472,0.0,1.3961649522311472,0.516357421875,2.531031277062243,5
-day Machiavelli,1,1.3691922953102136,0.0,1.3691922953102136,0.52490234375,2.554206324213034,2
"()
 ctime:",1,1.368871443633184,0.0,1.368871443633184,0.2451171875,2.77990565986421,2
14 cm long.,1,1.3605922652459332,0.0,1.3605922652459332,0.35498046875,2.677725780302333,3
icentennial Park at,1,1.3467332782620196,0.0,1.3467332782620196,0.43359375,2.5139279222175483,3
USIC-PARTY.,1,1.3428487425374755,0.0,1.3428487425374755,0.4775390625,2.433019073140564,1
"- ""Bone marrow",1,1.3423029891462823,0.0,1.3423029891462823,0.3583984375,2.6918170431782054,3
6 and,1,1.3401704876668363,0.0,1.3401704876668363,0.373046875,2.5054097396749038,2
des études économiques,1,1.3393246415931641,0.0,1.3393246415931641,0.53125,2.46171492429541,3
"Hausmichl"".",1,1.3318761914747905,0.0,1.3318761914747905,0.693603515625,2.147737048511195,1
scales are thin and flexible.,1,1.3289013792996638,0.0,1.3289013792996638,0.502685546875,2.5331909482491595,5
for best supporting actor.,1,1.3250079062256161,0.0,1.3250079062256161,0.667724609375,2.1837661034546647,4
envoys,1,1.3248930574121456,0.0,1.3248930574121456,0.337890625,2.637305885717864,1
Biennale.,1,1.322682153482551,0.0,1.322682153482551,0.53076171875,2.2684515995266894,1
of the region.,1,1.3212055001002447,0.0,1.3212055001002447,0.5595703125,2.270726152594362,3
in Tuscia.,1,1.3207763017919527,0.0,1.3207763017919527,0.49951171875,2.3822630201048813,2
may also refer to:,1,1.318438860640951,0.0,1.318438860640951,0.677490234375,2.178390852774252,4
de Spirou,1,1.316893126548834,0.0,1.316893126548834,0.40576171875,2.5026209999658344,2
Garden is a,1,1.3132441277008975,0.0,1.3132441277008975,0.34033203125,2.547209440345993,3
in Pristava.,1,1.3095879834458621,0.0,1.3095879834458621,0.574462890625,2.2070410950892647,2
plagued,1,1.3087207631802633,0.0,1.3087207631802633,0.37255859375,2.5773439001381586,1
d'Argento,1,1.3083851720009216,0.0,1.3083851720009216,0.4609375,2.4928867581273035,1
7 feet; draug,1,1.3027729553538654,0.0,1.3027729553538654,0.46044921875,2.3973132477596635,3
tied-arch bridge.,1,1.3016983031088296,0.0,1.3016983031088296,0.4873046875,2.287448882772074,2
dr Fuchs.,1,1.2932440907869092,0.0,1.2932440907869092,0.8038330078125,1.943742551186023,2
the championship playoff game against,1,1.2905064436312979,0.0,1.2905064436312979,0.48193359375,2.3798305622032445,5
can be found there.,1,1.2848042070223298,0.0,1.2848042070223298,0.6728515625,2.0500155834737925,4
definition was published in,1,1.2833677578132043,0.0,1.2833677578132043,0.44482421875,2.347518515626761,4
Stevo Pearce,1,1.2799742829753495,0.0,1.2799742829753495,0.22412109375,2.601547035563374,2
CompuServe,4,1.2747704693533704,0.062076510774220446,1.360985785124277,0.47357177734375,2.4260008804146755,1
Jim Bridenstine,1,1.2686843454997891,0.0,1.2686843454997891,0.47265625,2.2790717035932224,2
qui font du bien (,1,1.267883454639278,0.0,1.267883454639278,0.7535400390625,1.976654437379445,5
40. The Windmill,1,1.2646639631699357,0.0,1.2646639631699357,0.31884765625,2.469399165737339,3
site on the CompuSer,1,1.2638056424512436,0.0,1.2638056424512436,0.45361328125,2.2981859811281087,4
coquilles vivantes,1,1.263387119652403,0.0,1.263387119652403,0.2626953125,2.541890650693507,2
He was a pupil of,1,1.2618352232548489,0.0,1.2618352232548489,0.32470703125,2.534959151887122,5
heil am geistigen,1,1.261008912713754,0.0,1.261008912713754,0.296875,2.464839176315635,3
his career. With Porte,1,1.2576135057144628,0.0,1.2576135057144628,0.55224609375,2.237783764286157,4
